x,y
-0.566332,-0.236817
-0.335686,-0.406514
-0.0925157,-0.443225
0.106978,-0.373857
0.230846,-0.24134
-1.09234,0.196536
-0.563065,0.0213856
-0.436483,-0.208973
-0.248138,-0.333413
-0.05522,-0.352649
0.0990924,-0.290101
-1.03964,0.21604
-0.87654,-0.251664
-0.649384,0.200666
-0.573798,-0.107248
-0.770481,0.142899
-0.642725,-0.199589
-0.408635,-0.408778
-0.147052,-0.474125
-0.941179,0.28965
-0.623528,-0.01586
-0.750589,0.106344
-0.612985,-0.219414
-0.378103,-0.411949
-0.122579,-0.464322
0.092569,-0.401916
0.231119,-0.268429
0.283022,-0.111558
-1.11321,0.144623
-0.554716,0.0421507
-0.438445,-0.189852
-0.824622,0.175941
-0.697089,-0.196134
-0.721164,0.178454
-0.711534,0.0286186
-0.552213,-0.262864
-0.779115,0.205145
-0.688354,0.0179418
-0.530326,-0.261706
-0.298365,-0.411027
-0.880654,0.264411
-0.775061,-0.151309
-0.528523,-0.42502
-0.231669,-0.534424
-0.907332,0.31377
-0.637067,-0.0255078
-0.745173,0.110203
-0.610413,-0.214315
-0.755835,0.185726
-0.648725,-0.161182
-0.74051,0.164473
-0.703796,0.0342108
-0.718482,0.0863157
-0.712607,0.0654737
-0.714957,0.0738105
-0.572892,-0.229887
-0.343443,-0.403871
-0.862623,0.261548
-0.654951,-0.0046193
